employee_id,full_name,address,ssn,date_of_birth,start_date,end_date,job_title
08-199-8417,Benedetto Reinbech,59 Ohio Alley,788-42-5183,11/18/1939,9/26/2013,12/1/2020,Senior Editor
43-535-5336,Town Shitliff,90644 Shopko Way,335-50-8493,7/8/1953,5/4/2021,,Structural Analysis Engineer
90-493-1310,Ingelbert Kislingbury,047 American Ash Terrace,163-45-9815,1/31/1959,3/12/2018,,Structural Analysis Engineer
63-592-8665,Krysta Eliff,70959 Barby Way,392-51-6983,3/13/1942,1/3/2009,3/10/2021,Human Resources Assistant IV
91-379-9496,Xymenes Goodreid,99063 Goodland Court,632-37-5737,9/3/1972,9/9/2014,2/24/2021,Senior Cost Accountant
26-327-2047,Nara McPhelimey,244 Algoma Avenue,515-76-2189,11/8/1912,7/13/2004,,Senior Editor
40-009-3255,Saloma Pilipets,853 Fallview Hill,719-51-1473,1/27/1935,6/1/2008,8/23/2021,Physical Therapy Assistant
56-715-7893,Jorie Frentz,710 Washington Circle,439-68-3637,3/6/1920,9/14/2008,,Analyst Programmer
37-369-8641,Reggie Leeb,75 Thackeray Pass,324-46-2560,5/27/1964,5/21/2012,,Geologist IV
95-338-1363,Gibb Baptist,17461 Grover Way,159-19-3357,11/10/1970,2/22/2002,8/16/2021,Tax Accountant
30-363-0946,Lennie Urridge,06311 Esker Center,703-99-0895,10/17/1973,3/17/2019,,Project Manager
77-166-6806,Kassi Mordacai,63 Montana Street,172-28-4819,1/17/1943,11/1/2016,,Recruiter
90-342-2257,Aron Dinnage,171 Hintze Center,156-78-8401,9/10/1916,11/15/2003,,Assistant Professor
98-276-6501,Lamar McMechan,30 Old Gate Road,840-36-6350,9/20/1936,11/1/2003,,Senior Financial Analyst
34-064-9774,Herculie Jakov,95 Briar Crest Drive,725-80-1598,8/6/2004,8/28/2020,,Senior Sales Associate
02-306-5336,Aggi Snel,130 Summerview Way,147-44-5268,7/4/1992,8/30/2009,,Associate Professor
89-917-2924,Moyna Colvine,5 Trailsway Terrace,209-64-3271,5/7/1999,12/16/2017,,Automation Specialist III
08-278-1928,Delphinia Smouten,81881 Katie Hill,563-89-8834,11/22/1955,11/27/2011,5/25/2021,Executive Secretary
81-139-1905,Maurice Rootes,7717 Pepper Wood Street,608-94-7202,9/10/1980,3/3/2004,8/18/2021,Quality Engineer
37-535-7245,Alvie Trevino,65320 Stang Avenue,576-39-4937,11/9/1959,12/22/2020,,VP Marketing
78-172-2291,Manuel Bordessa,0 Farragut Center,843-28-7338,2/20/1917,8/20/2004,6/29/2021,Developer I
15-940-9558,Una Bangham,5044 Schlimgen Street,892-41-5240,9/9/1999,11/9/2021,8/14/2021,Senior Sales Associate
58-859-6011,Duncan Hallan,113 Fulton Parkway,124-37-7273,1/22/1949,12/19/2008,,Senior Developer
49-814-1653,Mychal Thurborn,8399 Spaight Circle,321-45-2950,12/24/1989,9/3/2008,6/25/2021,Cost Accountant
88-767-1033,Bronson Kidston,58453 La Follette Crossing,828-05-5836,4/9/1935,9/18/2008,,Systems Administrator I
83-736-5757,Liliane Fullalove,47931 Sachtjen Lane,293-60-1753,10/20/1910,1/11/2001,,Web Designer I
91-535-9628,Roxanne Bonfield,773 Atwood Circle,871-08-3997,9/12/1913,6/30/2018,10/27/2021,Analog Circuit Design manager
82-813-2255,Marina Durrad,03 Melby Plaza,227-68-3406,3/21/1957,1/18/2017,,Budget/Accounting Analyst IV
23-624-2151,Bald MacNulty,312 Stang Hill,173-38-7349,7/7/1989,5/2/2009,,Automation Specialist I
84-386-9357,Ivie Iacivelli,651 Loftsgordon Place,874-80-5708,12/29/1954,8/17/2006,,Dental Hygienist
57-816-3194,Sigismond Basillon,9 Killdeer Terrace,399-93-3835,5/24/1914,10/9/2003,,Electrical Engineer
00-663-8027,Ivonne Ealles,9272 Eagan Alley,564-04-9615,10/15/1978,6/11/2019,9/12/2021,Senior Developer
87-757-6051,Moll Marsden,46224 Donald Parkway,138-33-7191,7/10/2001,7/6/2006,6/5/2021,Tax Accountant
28-092-4345,Cosmo Nalder,9 Northridge Circle,421-43-7701,8/3/1972,12/14/2009,,Structural Engineer
27-271-2285,Melosa McGrayle,42823 Division Point,113-69-6864,12/26/1915,3/13/2014,,Electrical Engineer
42-143-7778,Roz Silley,1 Oakridge Street,648-31-4070,4/12/1999,1/24/2009,,Health Coach I
91-870-6008,Herold Piscopiello,27777 Meadow Ridge Park,470-13-2710,7/7/1967,9/6/2002,,Business Systems Development Analyst
08-742-1242,Henrieta Fearns,935 Cardinal Hill,567-36-2661,8/1/1984,1/4/2009,,Recruiter
08-811-5378,Tabina Squier,9865 Warner Street,114-83-8926,10/27/1930,9/10/2002,,Paralegal
66-971-4562,Gabriell Najafian,940 Judy Avenue,559-55-2796,6/29/1959,11/17/2007,,Senior Developer
28-078-7279,Giacopo Sweating,10289 Rutledge Terrace,764-99-8777,8/14/1935,8/19/2007,,Database Administrator III
59-839-2734,Jobye De Lisle,787 Kenwood Terrace,220-08-8118,11/22/1964,6/4/2020,,Pharmacist
25-754-6608,Borden Naul,4472 Quincy Trail,132-56-7283,2/10/1962,1/14/2007,1/30/2021,Financial Analyst
23-717-1504,Jerrold Simonutti,1194 Acker Crossing,529-33-5918,1/20/1936,5/9/2014,,Engineer IV
32-352-3715,Gerti Blamire,583 Hollow Ridge Alley,497-48-8295,2/9/1974,4/13/2002,,Help Desk Technician
96-508-0766,Lorenza Addie,291 Mariners Cove Court,565-89-7364,8/20/1935,10/23/2016,,Chemical Engineer
20-910-7501,Chaddy Shankster,35 Valley Edge Center,362-41-7935,12/30/1959,12/19/2010,,Research Nurse
63-735-7270,Stu Groundwator,7597 Birchwood Park,731-71-0432,9/26/1965,2/23/2014,,Research Associate
96-053-1711,Clementia Rangall,54658 Meadow Vale Lane,110-12-3488,5/8/1989,12/30/2008,3/3/2021,VP Sales
42-540-7952,Davida Casbon,83 Dorton Alley,655-28-6441,5/5/2003,3/28/2010,,Senior Sales Associate
01,jane,test address,02999,9/1/1975,12/5/2021,,test job title
2,jon,test add,09,09/12/1987,12/04/2020,,test title
3,Jake,test3,55,01/03/2005,06/07/2021,,test
